BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,Indexer
CV7AL0011,2:00 AM,St,Boston,2109,64.9,501.4,"$46,277.17",2014N-00043,UO42,65
CV7AL0012,2:00 AM,ST,Boston,2110,90.3,522.3,"$2,369.58",2011N-00063,UO12,66
CV7AL0013,2:00 AM,ST,Boston,2110,131.6,611.4,"$80,215.83",2013N-00061,UO87,67
CV7AL0014,2:00 AM,ST,BRIGHTON,2116,71.4,595.4,"$100,738.41",2014N-00081,UO82,68
CV7AL0015,2:00 AM,ST,Boston,2119,,550.4,"$76,665.44",2011N-00009,UO50,69
CV7AL0016,2:00 AM,ST,Boston,2111,,,"$21,152.58",2013N-00023,UO31,70
CV7AL0017,1:00 AM,AV,Boston,2118,115.2,2461,"$107,990.94",2014N-00013,UO79,71
CV7AL0018,2:00 AM,PL,Boston,2109,60.7,76.3,"$102,917.53",2014N-00173,UO56,72
CV7AL0020,2:00 AM,ST,Boston,2210,55.5,301.8,"$13,112.65",2011N-00064,UO28,73
CV7AL0021,2:00 AM,AV,Boston,2110,159.4,1480.8,"$94,092.54",2013N-00001,UO2,74
CV7AL0022,1:00 AM,ST,East Boston,2110,58.9,375.5,"$44,132.78",2014N-00004,UO38,75
CV7AL0023,2:00 AM,ST,East Boston,2210,92.9,945.3,"$13,655.10",,UO5,76
CV7AL0024,2:00 AM,ST,Boston,2119,21.3,65.7,"$101,466.00",2012N-00072,UO59,77
CV7AL0025,2:00 AM,ST,Boston,2139,111.8,879.4,"$55,974.12",2013N-00168,UO54,78
CV7AL0027,2:00 AM,ST,Boston,2108,104.1,902.1,"$24,078.60",2013N-00067,UO53,79
CV7AL0028,2:00 AM,St,Boston,2116,63.9,456.8,"$8,840.45",2012N-00063,UO76,80
CV7AL0029,2:00 AM,ST,Boston,2122,42.7,347.2,"$47,706.32",2013N-00130,UO83,81
CV7AL0031,2:00 AM,AV,Boston,2116,89.3,5192.1,"$2,764.39",2014N-00097,UO29,82
CV7AL0032,2:00 AM,PL,Boston,2116,82.9,3335.7,"$55,974.12",2012N-00060,UO65,83
CV7AL0034,2:00 AM,DR,Boston,2109,48.3,811,"$102,690.78",2013N-00129,UO39,84
CV7AL0037,1:00 AM,St,Boston,2109,51,622.6,"$97,716.03",2014N-00095,UO85,85
CV7AL0039,2:00 AM,ST,Boston,2114,10.9,55,"$96,404.95",2011N-00017,UO48,86
CV7AL0041,24 HOURS,ST,Boston,2115,105.2,175.4,"$2,040.00",2012N-00094,UO15,87
CV7AL0042,1:00 AM,ST,Boston,2114,74.8,1016.3,"$105,404.61",2013N-00115,UO92,88
CV7AL0043,2:00 AM,ST,Boston,2116,99.4,328.2,"$107,238.29",2014N-00121,UO40,89
CV7AL0044,2:00 AM,PL,Boston,2210,61.2,-211.7,"$47,960.68",,UO70,90
CV7AL0045,1:00 AM,ST,Boston,2116,116.9,544.8,"$1,587.00",2012N-00048,UO78,91
CV7AL0046,2:00 AM,ST,Boston,2111,82.7,3125.7,"$61,441.51",,UO33,92
CV7AL0048,2:00 AM, ,Boston,2215,85.7,1117.9,"$44,504.95",2013N-00133,UO7,93
CV7AL0049,2:00 AM,,Boston,2110,79.1,4518.6,"$99,197.79",2014N-00175,UO14,94
CV7AL0389,1:00 AM,SQ,Boston,2215,206.4,4507.2,"$121,451.94",2012N-00030,UO40,95
CV7AL0050,1:00 AM,St,Boston,2118,92.5,995.6,"$88,836.14",2013N-00058,UO70,96
CV7AL0051,1:00 AM,ST,Boston,2114,40,283.2,"$69,701.50",2014N-00067,UO78,97
CV7AL0052,2:00 AM,ST,Boston,2115,45.5,809.8,"$54,554.58",2011N-00049,UO33,98
CV7AL0053,1:00 AM,Pk,Boston,2210,41.2,230.2,"$62,545.90",2012N-00124,UO7,99
CV7AL0054,2:00 AM,ST,Boston,2108,93.3,672.1,"$25,984.75",2013N-00145,UO14,100
